name,role,company,industry,intent,score,reasoning,data_completeness
John Smith,CEO,TechFlow Inc,Software,High,75,Rules: Decision maker role detected (+20) | Exact ICP match (+20) | Complete profile (+10) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Complete
Sarah Johnson,Head of Marketing,DataCorp,Technology,High,75,Rules: Decision maker role detected (+20) | Exact ICP match (+20) | Complete profile (+10) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Complete
Mike Chen,Director of Sales,CloudSync,B2B Software,High,75,Rules: Decision maker role detected (+20) | Exact ICP match (+20) | Complete profile (+10) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Complete
Alex Rodriguez,Founder,InnovateLabs,Software Development,High,75,Rules: Decision maker role detected (+20) | Exact ICP match (+20) | Complete profile (+10) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Complete
Lisa Thompson,CTO,Enterprise Solutions,Enterprise Software,High,75,Rules: Decision maker role detected (+20) | Exact ICP match (+20) | Complete profile (+10) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Complete
Rachel Green,Head of Growth,ScaleUp Inc,B2B SaaS,High,75,Rules: Decision maker role detected (+20) | Exact ICP match (+20) | Complete profile (+10) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Complete
Mark Taylor,Marketing Director,FinanceFlow,Fintech,High,75,Rules: Decision maker role detected (+20) | Exact ICP match (+20) | Complete profile (+10) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Complete
Chris Brown,VP Sales,TechStart,Software,High,75,Rules: Decision maker role detected (+20) | Exact ICP match (+20) | Complete profile (+10) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Complete
Kevin Miller,Founder,DevTools Inc,Software Development,High,75,Rules: Decision maker role detected (+20) | Exact ICP match (+20) | Complete profile (+10) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Complete
Laura Davis,Head of Business Development,Enterprise Co,B2B Services,High,75,Rules: Decision maker role detected (+20) | Exact ICP match (+20) | Complete profile (+10) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Complete
Michelle Wang,Director of Marketing,CloudOps,Cloud Technology,High,75,Rules: Decision maker role detected (+20) | Exact ICP match (+20) | Complete profile (+10) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Complete
Steven Lee,CEO,AutoFlow,Automation Software,High,75,Rules: Decision maker role detected (+20) | Exact ICP match (+20) | Complete profile (+10) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Complete
Emily Davis,VP of Operations,,SaaS,Medium,65,Rules: Decision maker role detected (+20) | Exact ICP match (+20) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Incomplete
Jennifer Lee,Director of Product,CloudBase,Cloud Computing,Medium,55,Rules: Decision maker role detected (+20) | Non-target industry (+0) | Complete profile (+10) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Complete
,Marketing Manager,StartupXYZ,Technology,Medium,55,Rules: Influencer role detected (+10) | Exact ICP match (+20) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Incomplete
David Wilson,Sales Manager,TechCorp,Technology,Medium,55,Rules: Influencer role detected (+10) | Exact ICP match (+20) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Incomplete
Amy White,CEO,,Consulting,Medium,55,Rules: Decision maker role detected (+20) | Adjacent industry (+10) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Incomplete
Jessica Garcia,Operations Manager,LogiTech,Technology,Medium,55,Rules: Influencer role detected (+10) | Exact ICP match (+20) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Incomplete
Ryan Johnson,,StartupHub,Technology,Medium,45,Rules: Role not relevant +0 | Exact ICP match (+20) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Incomplete
Tom Anderson,,MegaCorp,Manufacturing,Low,25,Rules: Role not relevant +0 | Non-target industry (+0) | AI: AI analysis unavailable; You exceeded your current quota ;Using default Medium intent and 25 score,Incomplete
